ticket_id,subject,body,category,resolution
BIL-SUB-01,Want to downgrade to the basic subscription,I no longer need the premium features and would like to move to the basic plan before the next renewal. I want to make sure I am not billed the higher amount again.,billing,Changed the account to renew on the basic plan starting next cycle and confirmed the current premium access remains active until renewal.
BIL-SUB-02,Please cancel auto-renew before next billing date,Please disable auto-renew on my account so the subscription stops at the end of the current period. I still want access until the paid term ends.,billing,Turned off auto-renew and emailed a confirmation that access continues through the paid subscription end date.
BIL-SUB-03,Switching plans but avoid another full charge,"I am comparing plans and may downgrade this week, but I want to understand whether changing mid-cycle creates a new full charge or applies a prorated credit.",billing,Explained the proration policy for mid-cycle plan changes and updated the account with the requested downgrade option.
BIL-SUB-04,Subscription cancellation request for annual plan,"I purchased the annual subscription by mistake and need help cancelling future renewals. If a refund is not possible, I at least want to prevent the next renewal charge.",billing,Cancelled future renewal on the annual plan and documented the customer acknowledgement of the renewal status.
BIL-PMT-01,Card keeps failing even though funds are available,"My card is being declined when I try to complete checkout, but the bank confirms the card is active and has enough funds. I need to know whether the issue is on your side or the issuer side.",billing,Advised the customer to retry with AVS-matching billing details and contact the issuer if 3DS authentication continues to fail.
BIL-PMT-02,Payment method declined during checkout,"I attempted to pay for an order several times and kept getting a payment failure message. Before I retry again, I want to confirm the best way to update or re-enter my payment method.",billing,Reviewed the failed payment attempts and walked the customer through updating the saved payment method in account settings.
BIL-PMT-03,Need to update expired card for subscription,"The credit card saved on my subscription has expired, and I cannot find where to replace it in the billing settings. Please point me to the correct steps so service is not interrupted.",billing,Shared the direct link to update the subscription card and confirmed renewal retries will use the new payment method.
BIL-PMT-04,Checkout says transaction failed but bank was charged,"Checkout showed a failure message, but my bank app immediately sent a card charge notification. I want to avoid paying twice if I submit the order again.",billing,Identified the charge as a pending authorization from a failed attempt. Recommended waiting for the hold to release before retrying checkout.
TEC-PWD-01,Password reset email never arrives,"I selected forgot password multiple times and still have not received any reset email. I checked spam and promotions folders, so I am worried the message is not being sent at all.",technical,Confirmed the account email domain was suppressing automated mail. Triggered a manual reset email and suggested allowlisting the sender domain.
TEC-PWD-02,Cannot log in because reset link expired immediately,"The password reset email finally arrived, but the link said it was expired as soon as I opened it. I need a fresh link or another way to recover access quickly.",technical,Invalidated previous reset tokens and issued a new password reset link with a fresh expiration window.
TEC-PWD-03,Reset password form keeps looping back to sign-in,"After I choose a new password, the website redirects me to the sign-in page and then says my old password is incorrect. It feels like the reset process is not saving the new password.",technical,Replicated the browser session issue and advised clearing cached cookies before completing the reset flow again.
TEC-PWD-04,Need help resetting password for my account,I can no longer access my account because I forgot the password and the self-service reset flow is not working. Please help me regain access as soon as possible.,technical,Verified account ownership and sent assisted password reset instructions to the registered email address.
TEC-APP-01,Mobile app crashes when opening order history,"The iPhone app closes every time I tap Order History from the account tab. Other screens work normally, so it seems tied to that specific page.",technical,Logged a mobile crash tied to cached order history data and advised reinstalling the app while the fix is deployed.
TEC-APP-02,Website freezes during checkout on Safari,Checkout becomes unresponsive right after I select shipping options in Safari. The page spinner keeps turning and the Place Order button never becomes clickable.,technical,Suggested disabling content blockers and confirmed the Safari checkout freeze is related to a known browser-specific script issue.
TEC-APP-03,Error 500 shown after uploading profile picture,"When I upload a new profile photo, the page returns an internal server error. The image is small and under the documented size limit, so I think this may be a backend issue.",technical,Captured the server error logs for the failed upload request and reopened the media processing service for the affected user.
TEC-APP-04,Dashboard loads blank after latest app update,"Since updating the app this morning, the main dashboard appears completely blank after login. Notifications still come through, but the screen content never renders.",technical,Provided a workaround to clear local app storage and confirmed the blank dashboard issue is resolved in the latest patch build.
TEC-SYNC-01,Inventory numbers are not updating in the portal,"I updated product quantities this morning, but the portal still shows the previous inventory counts. I waited over an hour and manually refreshed several times.",technical,Explained that the sync worker was delayed and manually reran the job for the affected tenant.
TEC-SYNC-02,Recent changes did not sync to my account,"My profile changes appear saved, yet another device still shows the old data. I need to understand whether the sync service is delayed or something else is failing.",technical,Found a device cache issue and instructed the customer to sign out and back in to force a fresh sync.
TEC-SYNC-03,Why is the dashboard showing yesterday's data?,The dashboard metrics are clearly stale and still reflect yesterday evening's numbers. Please confirm when the next data sync should complete.,technical,Verified the analytics refresh schedule and communicated the expected dashboard update time.
TEC-SYNC-04,Order status stuck even after system update,One of our order records still says processing even though the warehouse told us it shipped earlier today. I want to know whether the status update queue is stuck.,technical,Triggered a manual order status refresh after confirming the update event was still queued.
TEC-INT-01,API token returns unauthorized after rotation,"We rotated our API token yesterday and all requests now return unauthorized responses. The header format has not changed, so I need help validating whether the new token was activated correctly.",technical,Confirmed the rotated token needed to be explicitly assigned to the production environment and re-enabled API access.
TEC-INT-02,Webhook notifications stopped arriving,"Our integration relies on order webhooks, but nothing has arrived since yesterday afternoon. No recent code changes were made on our side, and we want to verify whether deliveries are failing.",technical,Replayed failed webhook deliveries and shared the endpoint response codes so the customer could verify receipt.
TEC-INT-03,CSV import fails on row validation error,"A bulk CSV upload keeps stopping with a generic validation message, but the file looks correctly formatted. Please explain which row or field is causing the import to fail.",technical,Identified a malformed date value on one CSV row and returned a row-level error report to the customer.
TEC-INT-04,SFTP upload connection times out every night,The nightly SFTP upload process has started timing out after connecting to the host. This only happens during the scheduled job window and not during manual daytime retries.,technical,Recommended whitelisting the updated SFTP IP range and extending the client timeout for the overnight batch window.
TEC-PERF-01,Search is suddenly much slower than usual,"Product search used to return almost instantly, but now every query takes 10 to 15 seconds. This slowdown started today and affects multiple team members.",technical,Acknowledged a search indexing backlog and confirmed response times improve once the queue drains.
TEC-PERF-02,Reports take too long to generate,"The reporting page spins for several minutes before showing results, even for simple date ranges. We need to know if this is a known capacity issue.",technical,Suggested narrowing report filters while the analytics cluster scales back up and noted the current incident reference.
TEC-PERF-03,Site latency spikes every afternoon,"Our support team notices that the website becomes sluggish every afternoon around the same time. Pages eventually load, but the delay is hurting customer service work.",technical,Correlated the afternoon latency to a scheduled batch job and escalated the timing conflict to engineering.
TEC-PERF-04,Large order page times out before loading,"One account has a very large order history, and that page now times out before it can render. We need a workaround because the user must review those past orders.",technical,Provided an export-based workaround for large order history while pagination improvements are released.
ACC-LOCK-01,Account locked after too many sign-in attempts,I entered the wrong password several times and now the account says it has been locked for security reasons. I have access to my email and can verify ownership if needed.,account,Verified the customer identity and removed the temporary security lock from the account.
ACC-LOCK-02,Cannot access account because of security lock,The sign-in page shows a security lock message even though I am using the correct password now. I need the account reopened so I can place an urgent order.,account,Confirmed the lockout timer had not yet expired and provided the immediate assisted unlock path.
ACC-LOCK-03,MFA code accepted but account still locked,"My MFA code is accepted, but after that the system still says the account is locked. It feels like one security check is clearing but the lock status is not.",account,Reset the account lock flag after validating the MFA event logs.
ACC-LOCK-04,Please unlock my account after failed logins,I need help unlocking the account after repeated login failures during travel. I can confirm billing details or answer verification questions if necessary.,account,Unlocked the account manually and recommended updating the password to avoid future lockouts.
ACC-EMAIL-01,Need to change email address on my account,I changed jobs and no longer have access to the email currently attached to my account. I need to replace it with a new address without losing order history or saved settings.,account,Validated identity with alternate account details and updated the primary login email address.
ACC-EMAIL-02,Old company email no longer accessible,"The account still uses my old company email, which has been deactivated. Please help me update the login email after verifying my identity another way.",account,Changed the account email after manual verification because the original inbox was unavailable.
ACC-EMAIL-03,Email update link never confirmed the change,"I followed the email change flow and clicked the confirmation link, but the old address still shows in profile settings. I need to know whether the change actually completed.",account,Resent the email-change confirmation and confirmed the update completes after the final approval step.
ACC-EMAIL-04,Can I move my account to a new email?,I want to move my account to a personal email address because I cannot receive messages at the previous inbox anymore. What is the safest way to do that?,account,Outlined the secure email migration steps and completed the update for the verified account holder.
ACC-MFA-01,Lost phone and cannot receive MFA codes,I replaced my phone and no longer have access to the authenticator app that was linked to this account. I need a secure way to sign in and reconfigure MFA.,account,Verified identity and disabled MFA temporarily so the customer could sign in and enroll a new device.
ACC-MFA-02,Authenticator app codes stopped working,The authenticator app code keeps being rejected even though the time on my phone looks correct. Please help me re-sync or reset two-factor authentication.,account,Advised re-syncing the authenticator app clock and provided assisted MFA reset steps.
ACC-MFA-03,Need backup method for two-factor login,"Before travelling, I want to set up a backup two-factor option in case my primary device is unavailable. I am not sure whether backup codes or SMS is supported.",account,Explained how to generate backup codes and enable an alternate second-factor method.
ACC-MFA-04,SMS verification codes arrive too late,"SMS verification codes are arriving several minutes late, so they expire before I can use them. I need another MFA option or a way to extend the timeout.",account,Recommended switching from delayed SMS to an authenticator app after successful identity verification.
ACC-PRIV-01,How do I delete my account permanently?,I would like to permanently delete the account and understand what happens to my order history and support records. Please explain the process before I confirm.,account,"Shared the account deletion workflow, retention policy, and confirmation steps required before permanent removal."
ACC-PRIV-02,Requesting export of my personal data,I need a copy of the personal data stored in my account for compliance review. Please tell me how to request an export and how long it usually takes.,account,Submitted a data export request and explained the expected delivery timeline for the archive.
ACC-PRIV-03,Need to close account but keep invoices,"I want to close the account, but I still need access to invoices for taxes. Is there a way to download those documents before deletion is completed?",account,Advised downloading invoices before closure and documented the pending account deletion request.
ACC-PRIV-04,Please remove saved addresses from profile,"Please remove all saved shipping addresses from my profile. I have already deleted some manually, but old entries still appear during checkout.",account,Removed the remaining saved addresses and confirmed the profile now only retains required account metadata.
ACC-PROF-01,Profile name change not saving,"Every time I change the profile display name and click save, the old name reappears after I refresh the page. I am unsure whether the update is failing silently.",account,Replicated the profile save issue and updated the record directly while engineering investigates the UI bug.
ACC-PROF-02,Default shipping address keeps reverting,"I changed the default shipping address twice, but checkout still keeps selecting the previous address. This is causing orders to route to the wrong location.",account,Cleared the stale default-address flag and confirmed the new shipping address is now selected at checkout.
ACC-PROF-03,Notification settings reset after logout,My email notification preferences reset each time I log out and sign back in. I need the settings to persist because the current volume of alerts is too high.,account,Reset the affected notification preference row and confirmed it now persists across sessions.
ACC-PROF-04,Need to update billing contact on account,"Please update the billing contact details for the account owner record. The current contact left the team, and invoices should be addressed to someone else.",account,Updated the billing contact information attached to the account profile.
SHI-TRACK-01,Tracking number says label created for days,"My order was marked as shipped three days ago, but the carrier page still only says label created. I want to know whether the package was actually handed over.",shipping,Confirmed the label was created before carrier pickup and shared the next expected scan window.
SHI-TRACK-02,Package marked shipped but no carrier updates,"I received a shipment notification email, yet the carrier site has no movement or scan events. Please check if the parcel is delayed before pickup.",shipping,Checked warehouse dispatch records and verified the parcel will receive tracking events after the first carrier scan.
SHI-TRACK-03,Tracking link does not work,"The tracking link in the shipment email opens the carrier page, but it shows an error instead of order details. I need the correct tracking status for this package.",shipping,Provided the corrected tracking number and direct carrier URL for the shipment.
SHI-TRACK-04,How can I find my shipment status?,I am trying to confirm where my shipment is and whether it is still on schedule. The current tracking page is not giving me enough information.,shipping,Explained the shipment timeline and current carrier handoff status based on warehouse records.
SHI-DELAY-01,Order delayed and needed by this weekend,"The package was supposed to arrive before the weekend, but the delivery estimate now shows a later date. I need to know whether anything can be done to speed it up.",shipping,"Apologized for the transit delay, confirmed the revised delivery estimate, and offered shipping reimbursement where applicable."
SHI-DELAY-02,Express shipping arrived later than promised,"I paid for express shipping because the item was time sensitive, yet it still has not arrived. Please explain why the shipment missed the promised delivery window.",shipping,Investigated the express shipment delay and submitted a carrier service-failure claim for review.
SHI-DELAY-03,Delivery date changed twice already,The estimated delivery date has changed twice in the last two days. I would like a realistic update because I need someone home to receive the parcel.,shipping,Shared the latest carrier exception details so the customer has the most accurate delivery date.
SHI-DELAY-04,Package missed estimated delivery window,My shipment was due yesterday and there has been no delivery attempt. Please confirm whether the package is delayed in transit or lost.,shipping,Confirmed the parcel is delayed in transit rather than lost and provided the carrier escalation reference.
SHI-ADDR-01,Need to change shipping address after ordering,"I placed the order a few minutes ago and noticed the shipping address is wrong. If the package has not shipped yet, I need it updated to the correct address immediately.",shipping,Updated the shipping address because the order had not yet been packed by the warehouse.
SHI-ADDR-02,Wrong apartment number on my shipment,"The street address is correct, but the apartment number is missing from the order. I want to fix the delivery details before the carrier receives the parcel.",shipping,Added the missing apartment number and confirmed the corrected address on the order.
SHI-ADDR-03,Can I reroute package to my office?,I will not be home this week and would like to reroute the package to my office if possible. Please let me know whether this can be done before delivery.,shipping,Explained carrier reroute limitations and submitted an address-change request where eligible.
SHI-ADDR-04,Address correction requested before dispatch,I entered the wrong address during checkout and need a correction before the order leaves the warehouse. Please confirm whether the request was applied.,shipping,Confirmed the warehouse accepted the address correction before dispatch.
SHI-DAM-01,Package arrived damaged on delivery,"The outer package looked torn when it arrived, and the product inside is visibly damaged. I need to know whether you can send a replacement or start a claim.",shipping,"Opened a damage claim, requested photos, and arranged a replacement shipment for the customer."
SHI-DAM-02,Item box was crushed when it arrived,My order arrived today with a crushed retail box and cosmetic damage to the item. Please advise on the quickest path to a replacement.,shipping,Approved a replacement based on transit damage and emailed prepaid return instructions.
SHI-DAM-03,Broken product received after shipping,"The shipment was delivered, but the product is broken and unusable after unboxing. I can provide photos if that helps with the claim.",shipping,Documented the damaged item report and created a replacement order with priority handling.
SHI-DAM-04,Need replacement for damaged order,I need a replacement for an item that appears to have been damaged during shipping. Please let me know what documentation you require.,shipping,Provided the claim steps for shipping damage and confirmed a replacement can be processed after photo review.
SHI-MISS-01,Delivered status shown but package is missing,"The tracking page says delivered this afternoon, but there is no package at my door, mailbox, or front desk. I want to know what steps to take next.",shipping,Asked the customer to check nearby drop-off locations and opened a carrier trace for the missing delivered package.
SHI-MISS-02,Carrier says handed to resident but nothing here,"Carrier tracking says the parcel was handed to a resident, but everyone in the household says they never received it. Please help investigate before the package is lost permanently.",shipping,Submitted a missing-delivery investigation with the carrier and documented the handoff discrepancy.
SHI-MISS-03,Package marked delivered to wrong address,"The tracking history shows delivered, but the photo looks like a different building. I think the package may have been left at the wrong address.",shipping,"Reviewed the delivery photo, noted the address mismatch, and escalated the case for replacement review."
SHI-MISS-04,Need help finding an order marked delivered,"My order is marked delivered, yet I have searched all usual drop-off spots and found nothing. Please advise on the fastest way to trace the shipment.",shipping,Provided the delivered-but-missing workflow and started a carrier claim on the customer's behalf.
