review_id,listing_id,reviewer_name,date,comments
1055,25,Mason,2024-06-14,Check-in was confusing and the bathroom did not feel very clean. I would not recommend it.
1056,26,Maya,2024-06-17,We had issues with communication and the bed was uncomfortable. The listing needs improvement.
1057,27,Daniel,2024-06-20,The room was smaller than expected and the street was noisy at night. Not great value for the price.
1058,28,Noah,2024-06-23,Good location and easy transport links. The room was basic but worked fine for a short trip.
1059,29,Maya,2024-06-26,"The stay was okay overall. Nothing special, though the host answered messages quickly."
1060,30,Arjun,2024-06-29,Amazing stay overall. The host shared local tips and the place matched the photos exactly.
1061,1,Sofia,2024-07-02,"Perfect base for exploring the city. Clean bathroom, quiet nights, and lots of cafes nearby."
1062,2,Ella,2024-07-05,Amazing stay overall. The host shared local tips and the place matched the photos exactly.
1063,3,Nina,2024-07-08,Amazing stay overall. The host shared local tips and the place matched the photos exactly.
1064,4,Grace,2024-07-11,Amazing stay overall. The host shared local tips and the place matched the photos exactly.
1065,5,Amelia,2024-07-14,The room was smaller than expected and the street was noisy at night. Not great value for the price.
1066,6,Hugo,2024-07-17,The heating struggled and the Wi-Fi kept dropping. The location was fine but the stay felt disappointing.
1067,7,Ava,2024-07-20,The room was smaller than expected and the street was noisy at night. Not great value for the price.
1068,8,Leo,2024-07-23,Decent option if you mainly need a place to sleep. The apartment was simple and practical.
1069,9,Luca,2024-07-26,Decent option if you mainly need a place to sleep. The apartment was simple and practical.
1070,10,Amelia,2024-07-29,"Lovely apartment with strong Wi-Fi, a good bed, and easy check-in. Excellent value for London."
1071,11,Ruby,2024-08-01,Really comfortable stay with excellent communication from the host. The neighbourhood felt safe and convenient.
1072,12,Ruby,2024-08-04,The flat was very clean and the host was friendly. Great location near the Tube and I would definitely stay again.
1073,13,Leo,2024-08-07,Amazing stay overall. The host shared local tips and the place matched the photos exactly.
1074,14,Theo,2024-08-10,  Really comfortable stay with excellent communication from the host. The neighbourhood felt safe and convenient.  
1075,15,Maya,2024-08-13,The heating struggled and the Wi-Fi kept dropping. The location was fine but the stay felt disappointing.
1076,16,Luca,2024-08-16,We had issues with communication and the bed was uncomfortable. The listing needs improvement.
1077,17,Ruby,2024-08-19,The room was smaller than expected and the street was noisy at night. Not great value for the price.
1078,18,Theo,2024-08-22,Convenient area and smooth check-in. A fairly standard London stay with no major surprises.
1079,19,Daniel,2024-08-25,Good location and easy transport links. The room was basic but worked fine for a short trip.
1080,20,Ethan,2024-08-28,"Lovely apartment with strong Wi-Fi, a good bed, and easy check-in. Excellent value for London."
1081,21,Leo,2024-08-31,Really comfortable stay with excellent communication from the host. The neighbourhood felt safe and convenient.
1082,22,Noah,2024-09-03,Really comfortable stay with excellent communication from the host. The neighbourhood felt safe and convenient.
1083,23,Layla,2024-09-06,The flat was very clean and the host was friendly. Great location near the Tube and I would definitely stay again.
1084,24,Sofia,2024-09-09,"Perfect base for exploring the city. Clean bathroom, quiet nights, and lots of cafes nearby."
1085,25,Sofia,2024-09-12,We had issues with communication and the bed was uncomfortable. The listing needs improvement.
1086,26,Maya,2024-09-15,Check-in was confusing and the bathroom did not feel very clean. I would not recommend it.
1087,27,Daniel,2024-09-18,We had issues with communication and the bed was uncomfortable. The listing needs improvement.
1088,28,Luca,2024-09-21,
1089,29,Ruby,2024-09-24,The property matched the description. Some parts were great while others were just average.
1090,30,Arjun,2024-09-27,Really comfortable stay with excellent communication from the host. The neighbourhood felt safe and convenient.
1091,1,Hugo,2024-09-30,Really comfortable stay with excellent communication from the host. The neighbourhood felt safe and convenient.
1092,2,Leo,2024-10-03,"Perfect base for exploring the city. Clean bathroom, quiet nights, and lots of cafes nearby."
1093,3,Mason,2024-10-06,"Perfect base for exploring the city. Clean bathroom, quiet nights, and lots of cafes nearby."
1094,4,Ruby,2024-10-09,"Perfect base for exploring the city. Clean bathroom, quiet nights, and lots of cafes nearby."
1095,5,Ethan,2024-10-12,Check-in was confusing and the bathroom did not feel very clean. I would not recommend it.
1096,6,Oliver,2024-10-15,The room was smaller than expected and the street was noisy at night. Not great value for the price.
1097,7,Ava,2024-10-18,The room was smaller than expected and the street was noisy at night. Not great value for the price.
1098,8,Layla,2024-10-21,The property matched the description. Some parts were great while others were just average.
1099,9,Oliver,2024-10-24,The property matched the description. Some parts were great while others were just average.
1100,10,Oliver,2024-10-27,The flat was very clean and the host was friendly. Great location near the Tube and I would definitely stay again.
